Sullay Kaikai,Sullay Kaikai
Bruno Martins Indi,Bruno Martins Indi
Michael Hefele,Michael Hefele
Andy King,Andy King
Eliaquim Mangala,Eliaquim Mangala
Claudio Bravo,Claudio Bravo
Kevin Wimmer,Kevin Wimmer
Nick Pope,Nick Pope
Wilfried Bony,Wilfried Bony
Ibrahim Afellay,Ibrahim Afellay
Ezequiel Schelotto,Ezequiel Schelotto
Nacer Chadli,Nacer Chadli
Danny Drinkwater,Danny Drinkwater
Beni Baningime,Beni Baningime
Marvin Zeegelaar,Marvin Zeegelaar
Lee Grant,Lee Grant
Karl Darlow,Karl Darlow
Adrián,Adrian San Miguel del Castillo
Ethan Ampadu,Ethan Ampadu
Josh Tymon,Josh Tymon
Jerome Sinclair,Jerome Sinclair
Julien Ngoy,Julien Ngoy
Axel Tuanzebe,Axel Tuanzebe
Sam Baldock,Sam Baldock
Moritz Bauer,Moritz Bauer
Sam Byram,Sam Byram
Brahim Díaz,Brahim Diaz
Reece Oxford,Reece Oxford
Badou Ndiaye,Badou Ndiaye
Jordan Hugill,Jordan Hugill
Yohan Benalouane,Yohan Benalouane
Eldin Jakupović,Eldin Jakupovic
Sergio Romero,Sergio Romero
Emre Can,Emre Can
Davy Klaassen,Davy Klaassen
Wayne Rooney,Wayne Rooney
Cuco Martina,Cuco Martina
Kasey Palmer,Kasey Palmer
Sofiane Boufal,Sofiane Boufal
Dušan Tadić,Dusan Tadic
Sam McQueen,Sam McQueen
Tammy Abraham,Tammy Abraham
Kyle Bartley,Kyle Bartley
Wayne Routledge,Wayne Routledge
Tom Carroll,Tom Carroll
Leroy Fer,Leroy Fer
Leon Britton,Leon Britton
Martin Olsson,Martin Olsson
Kyle Naughton,Kyle Naughton
Matt Phillips,Matt Phillips
Hal Robson-Kanu,Hal Robson-Kanu
Sam Field,Sam Field
Jake Livermore,Jake Livermore
Claudio Yacob,Claudio Yacob
Chris Brunt,Chris Brunt
Ahmed Hegazi,Ahmed Hegazy
Craig Dawson,Craig Dawson
Benik Afobe,Benik Afobe
Marc Pugh,Marc Pugh
Thibaut Courtois,Thibaut Courtois
Jonathan Walters,Jonathan Walters
Scott Arfield,Scott Arfield
Tomer Hemed,Tomer Hemed
Markus Suttner,Markus Suttner
Dwight Gayle,Dwight Gayle
Mikel Merino,Mikel Merino
Chancel Mbemba,Chancel Mbemba
Daley Blind,Daley Blind
